Date,Day_Ahead,Forecast_P10,Forecast_P50,Forecast_P90,Uncertainty
2024-01-02,1,63.70578913528469,129.09470095602848,194.48361277677225,51.08508735995608
2024-01-03,2,49.44382519953555,131.90641081005157,214.36899642056758,64.42389500821564
2024-01-04,3,74.74883368143665,144.2302301889068,213.71162669637695,54.28234102146106
2024-01-05,4,95.55840029249866,157.77464822352948,219.9908961545603,48.60644369611783
2024-01-06,5,83.03869629043466,158.33688136884538,233.63506644725612,58.82670709250838
2024-01-07,6,90.91821842716584,151.99946549480416,213.08071256244247,47.719724271592426
2024-01-08,7,59.062834039073834,130.0913127065309,201.119791373988,55.49099895895085
2024-01-09,8,76.4375622651829,132.37840169071518,188.31924111624744,43.70378080119709
2024-01-10,9,70.93509060120431,131.2694996666129,191.60390873202147,47.136257082350454
2024-01-11,10,74.2767999975644,145.22177188663318,216.16674377570195,55.42575928833499
2024-01-12,11,70.21931819060114,144.93252571857866,219.64573324655618,58.36969338123244
2024-01-13,12,87.58984294727865,158.3574468295416,229.12505071180453,55.28719053301793
2024-01-14,13,88.75259691330992,157.5232743332292,226.29395175314852,53.72709173431195
2024-01-15,14,42.85877173150078,110.33913747884954,177.8195032261983,52.71903574011621
2024-01-16,15,58.59205558101765,117.88049776556717,177.16893995011668,46.319095456679314
2024-01-17,16,67.63401934709513,132.200985252805,196.76795115851485,50.442942113835834
2024-01-18,17,69.45104873151432,135.82144434436063,202.19183995720692,51.851871572536176
2024-01-19,18,75.55937102828388,152.48963489749076,229.41989876669766,60.10176864781788
2024-01-20,19,84.63905401515954,156.60509256468237,228.57113111420517,56.2234676168147
2024-01-21,20,89.05123721044652,146.36013561670896,203.6690340229714,44.77257687989253
2024-01-22,21,60.668185838121715,132.49831376146892,204.32844168481614,56.11728744011501
2024-01-23,22,62.15750853798194,129.0535907296342,195.9496729212865,52.262564212228334
2024-01-24,23,73.22462924649112,138.09022771920715,202.95582619192317,50.6762488068094
2024-01-25,24,60.60441714004591,134.43547736468227,208.26653758931863,57.680515800497155
2024-01-26,25,71.00819504097194,147.75670940526518,224.50522376955843,59.959776847104095
2024-01-27,26,90.83946467508143,166.89417826029913,242.9488918455168,59.417744988451325
2024-01-28,27,86.41570829012574,150.15213073065814,213.88855317119055,49.79408003166595
2024-01-29,28,59.813884955085015,127.23783431312211,194.66178367115918,52.674960435966476
2024-01-30,29,56.201651891788686,128.0817311402161,199.96181038864353,56.15631191283392
2024-01-31,30,60.832590319735715,137.1952790431871,213.55796776663848,59.65835056519639
